Serial_number:,2012223,,,,,,
Project ID:,NCOS Hydrology Monitoring,,,,,,
Location:,Groundwater Well 12,,,,,,
LEVEL UNIT:,ft,,,,,,
Offset:,0.000000 ft,,,,,,
TEMPERATURE UNIT:, °C,,,,,,
,,,,,,,
Date,Time,Date & Time,TEMPERATURE (C),Conductivity (uS/cm),LEVEL (ft),WSE (ft),
3/27/2018,11:45,3/27/2018 11:45,12.6,,2.555,8.255,
3/27/2018,12:00,3/27/2018 12:00,12.6,,2.548,8.248,
3/27/2018,12:15,3/27/2018 12:15,12.6,,2.535,8.235,
3/27/2018,12:30,3/27/2018 12:30,12.6,,2.52,8.22,
3/27/2018,12:45,3/27/2018 12:45,12.6,,2.508,8.208,
3/27/2018,13:00,3/27/2018 13:00,12.6,,2.501,8.201,
3/27/2018,13:15,3/27/2018 13:15,12.6,,2.489,8.189,
3/27/2018,13:30,3/27/2018 13:30,12.6,,2.472,8.172,
3/27/2018,13:45,3/27/2018 13:45,12.6,,2.456,8.156,
3/27/2018,14:00,3/27/2018 14:00,12.6,,2.457,8.157,
3/27/2018,14:15,3/27/2018 14:15,12.6,,2.481,8.181,
3/27/2018,14:30,3/27/2018 14:30,12.6,,2.449,8.149,
3/27/2018,14:45,3/27/2018 14:45,12.6,,2.428,8.128,
3/27/2018,15:00,3/27/2018 15:00,12.6,,2.415,8.115,
3/27/2018,15:15,3/27/2018 15:15,12.6,,2.406,8.106,
3/27/2018,15:30,3/27/2018 15:30,12.6,,2.404,8.104,
3/27/2018,15:45,3/27/2018 15:45,12.6,,2.393,8.093,
3/27/2018,16:00,3/27/2018 16:00,12.6,,2.39,8.09,
3/27/2018,16:15,3/27/2018 16:15,12.6,,2.388,8.088,
3/27/2018,16:30,3/27/2018 16:30,12.6,,2.378,8.078,
3/27/2018,16:45,3/27/2018 16:45,12.6,,2.379,8.079,
3/27/2018,17:00,3/27/2018 17:00,12.6,,2.371,8.071,
3/27/2018,17:15,3/27/2018 17:15,12.6,,2.37,8.07,
3/27/2018,17:30,3/27/2018 17:30,12.6,,2.368,8.068,
3/27/2018,17:45,3/27/2018 17:45,12.6,,2.376,8.076,
3/27/2018,18:00,3/27/2018 18:00,12.6,,2.372,8.072,
3/27/2018,18:15,3/27/2018 18:15,12.6,,2.382,8.082,
3/27/2018,18:30,3/27/2018 18:30,12.6,,2.388,8.088,
3/27/2018,18:45,3/27/2018 18:45,12.6,,2.385,8.085,
3/27/2018,19:00,3/27/2018 19:00,12.6,,2.391,8.091,
3/27/2018,19:15,3/27/2018 19:15,12.6,,2.394,8.094,
3/27/2018,19:30,3/27/2018 19:30,12.6,,2.398,8.098,
3/27/2018,19:45,3/27/2018 19:45,12.6,,2.407,8.107,
3/27/2018,20:00,3/27/2018 20:00,12.6,,2.412,8.112,
3/27/2018,20:15,3/27/2018 20:15,12.6,,2.421,8.121,
3/27/2018,20:30,3/27/2018 20:30,12.6,,2.422,8.122,
3/27/2018,20:45,3/27/2018 20:45,12.6,,2.431,8.131,
3/27/2018,21:00,3/27/2018 21:00,12.6,,2.436,8.136,
3/27/2018,21:15,3/27/2018 21:15,12.6,,2.438,8.138,
3/27/2018,21:30,3/27/2018 21:30,12.6,,2.445,8.145,
3/27/2018,21:45,3/27/2018 21:45,12.6,,2.45,8.15,
3/27/2018,22:00,3/27/2018 22:00,12.6,,2.458,8.158,
3/27/2018,22:15,3/27/2018 22:15,12.6,,2.463,8.163,
3/27/2018,22:30,3/27/2018 22:30,12.6,,2.466,8.166,
3/27/2018,22:45,3/27/2018 22:45,12.6,,2.47,8.17,
3/27/2018,23:00,3/27/2018 23:00,12.6,,2.476,8.176,
3/27/2018,23:15,3/27/2018 23:15,12.6,,2.478,8.178,
3/27/2018,23:30,3/27/2018 23:30,12.6,,2.482,8.182,
3/27/2018,23:45,3/27/2018 23:45,12.6,,2.489,8.189,
